full_name,sex,profession,hourly_salary,date_of_birth,weight,height,city_of_origin,last_seen,satisfaction_score,sleep_1,sleep_2,sleep_3
Bobby Burgess,m,laborer,14.0,2/2/70,90.0,181.0,London,2208-02-22,0.6321839080459769,9.0,7.6,8.0
Barbara Joyce,f,manager,11.7,10/9/66,93.0,188.0,London,2208-02-19,0.5344827586206896,9.3,8.0,
Anna Joyce,f,police officer,14.2,2/8/78,83.0,166.0,London,2208-02-15,0.689655172413793,7.4,8.7,7.4
Jessica Radcliffe,f,cashier,10.0,12/9/76,72.0,179.0,Manchester,2208-02-12,0.4367816091954023,9.1,8.3,7.6
Billy Garcia,m,carpenter,,9/26/94,75.0,197.0,Toronto,2208-02-17,0.718390804597701,6.8,8.6,8.6
Jack Griffin,m,electrician,14.1,11/14/70,77.0,181.0,London,2208-02-24,0.6379310344827586,7.1,9.0,8.3
Dorothy Radcliffe,f,cashier,10.0,8/17/61,85.0,174.0,Vancouver,2208-02-22,0.3505747126436782,6.9,7.9,9.3
,m,developer,13.5,6/13/74,88.0,178.0,Vancouver,2208-02-24,,8.3,9.1,7.7
Philip Forster,m,manager,12.1,8/19/72,69.0,176.0,Manchester,2208-02-24,0.5344827586206896,6.8,8.7,8.6
Karen Harris,f,cashier,9.7,6/20/76,67.0,190.0,Montreal,2208-02-23,0.41954022988505746,6.0,9.4,8.0
Beverly Orwell,f,bookkeeper,15.8,8/10/99,79.0,164.0,London,2208-02-17,0.9022988505747127,7.1,9.2,8.9
Rachel Holmes,f,plant worker,10.2,12/14/83,84.0,194.0,London,2208-02-24,0.4310344827586207,8.5,9.1,8.6
Sophia Marquez,f,bartender,12.0,8/8/96,65.0,175.0,Sydney,2208-02-21,0.6091954022988505,8.8,6.4,7.8
Sara Radcliffe,f,server,10.0,2/17/82,76.0,163.0,Los Angeles,2208-02-13,0.5287356321839081,5.6,8.1,6.8
Anna Lopez,f,carpenter,14.2,8/8/91,73.0,198.0,Montreal,2208-02-16,0.7068965517241378,8.5,8.7,7.2
Stephanie Orwell,f,,7.9,10/3/72,75.0,194.0,London,2208-02-18,0.3505747126436782,7.0,8.3,7.4
Ethan Johnson,m,bartender,12.0,3/1/87,85.0,185.0,London,2208-02-17,,6.5,8.0,8.3
,f,carpenter,14.0,11/26/80,82.0,180.0,Birmingham,,0.6321839080459769,6.8,8.9,8.3
Evelyn Garcia,f,carpenter,14.2,,67.0,168.0,Birmingham,2208-02-23,0.7241379310344828,7.9,7.8,8.7
Philip Thomas,m,laborer,14.0,4/8/64,91.0,190.0,Brisbane,2208-02-16,0.6551724137931035,6.9,7.9,8.8
Wayne Holmes,m,cook,12.0,1/7/90,84.0,173.0,London,2208-02-24,0.689655172413793,7.4,7.8,8.3
Grace Gallager,f,plant worker,10.0,9/17/68,68.0,192.0,Los Angeles,2208-02-13,,9.3,8.0,7.4
Timothy Watson,m,carpenter,,12/15/83,78.0,191.0,New York,2208-02-19,0.6436781609195403,8.4,8.8,7.5
Judith Joyce,f,clerk,16.2,3/3/96,71.0,174.0,Brisbane,,0.9080459770114941,8.0,9.4,8.0
Katherine Radcliffe,f,laborer,13.9,10/7/66,71.0,191.0,Brisbane,2208-02-24,0.6609195402298851,8.8,8.6,7.9
,m,plant worker,10.5,10/24/73,92.0,194.0,Vancouver,2208-02-19,0.5057471264367817,10.3,8.5,8.9
Richard Heller,m,,16.0,9/26/91,71.0,177.0,Sydney,2208-02-22,0.8103448275862069,8.0,8.2,9.2
Alan Lawrence,m,,13.9,1/27/88,80.0,182.0,Vancouver,2208-02-24,0.7873563218390806,9.0,7.5,9.9
Walter Bradbury,m,janitor,8.1,2/6/97,93.0,197.0,London,2208-02-22,0.44827586206896547,8.3,,
Thomas Jackson,m,clerk,16.0,3/26/79,90.0,161.0,New York,2208-02-12,0.7413793103448276,,8.0,6.8
Christina Lawrence,f,bartender,12.3,3/6/66,91.0,190.0,London,2208-02-24,0.5689655172413792,7.1,8.3,4.8
Karen Fitzgerald,f,manager,11.8,,77.0,181.0,Manchester,2208-02-24,0.46551724137931044,7.5,8.2,8.5
Nicholas Gallager,m,cook,12.0,12/23/97,83.0,164.0,Melbourne,2208-02-14,0.6724137931034483,8.4,9.0,7.3
Emma Dickens,,plant worker,10.1,4/21/70,69.0,179.0,Manchester,2208-02-22,0.40804597701149425,8.1,7.9,9.4
Patricia Martinez,f,gardener,10.2,8/10/65,68.0,199.0,London,2208-02-24,0.38505747126436785,7.7,9.7,8.3
Terry Hall,m,plant worker,10.0,3/5/84,73.0,192.0,Montreal,2208-02-21,0.42528735632183906,8.4,7.7,9.3
Eugene Bradbury,m,electrician,14.0,2/2/88,78.0,196.0,Melbourne,2208-02-17,0.7356321839080459,7.3,7.5,8.0
Carol Jones,f,laborer,14.0,8/1/76,72.0,,Toronto,2208-02-16,0.6091954022988505,7.1,6.6,8.2
Elizabeth Potter,f,cook,11.9,12/9/63,86.0,166.0,Brisbane,2208-02-23,0.47126436781609193,7.9,7.1,7.8
Ashley Miller,f,manager,12.0,6/22/96,93.0,179.0,Toronto,2208-02-22,0.6091954022988505,8.2,7.9,8.8
Jeremy Johnson,m,plant worker,10.0,9/5/79,80.0,,Melbourne,2208-02-14,0.4540229885057471,7.7,8.7,7.1
Willie Gallager,,gardener,10.3,7/26/60,87.0,161.0,Brisbane,2208-02-22,0.41954022988505746,9.0,7.9,6.7
Nicholas Weasley,m,gardener,,9/22/79,73.0,197.0,Montreal,2208-02-24,0.4540229885057471,8.2,9.2,7.4
David Wilson,m,cook,12.0,7/22/76,76.0,197.0,,2208-02-22,0.5517241379310345,7.5,9.2,8.2
Sean Golding,m,server,10.0,10/21/92,69.0,192.0,Birmingham,2208-02-17,0.5862068965517242,9.0,7.6,8.7
Doris Roth,f,gardener,10.2,2/23/92,66.0,166.0,Toronto,2208-02-17,0.4827586206896552,7.6,8.4,5.7
,m,,14.3,7/23/99,77.0,197.0,Brisbane,2208-02-24,0.7586206896551725,6.3,5.4,8.6
Jennifer Hall,f,bartender,11.7,1/21/78,77.0,199.0,Toronto,2208-02-17,0.5459770114942528,8.0,8.2,7.8
Ethan Martin,m,plant worker,10.0,10/12/98,65.0,175.0,Vancouver,2208-02-24,0.5057471264367817,9.8,7.6,7.4
Frank McConaughey,m,bartender,12.1,3/5/63,67.0,185.0,Birmingham,2208-02-15,0.5402298850574713,8.0,8.8,6.3
Douglas Jackson,m,cook,12.0,4/26/73,78.0,193.0,Montreal,2208-02-14,0.5344827586206896,,7.1,9.8
,m,server,10.1,4/19/85,67.0,175.0,New York,2208-02-23,0.5517241379310345,6.1,9.4,6.7
Dennis Marquez,m,laborer,14.0,9/6/90,85.0,183.0,New York,2208-02-12,0.8045977011494252,8.8,8.1,9.0
Madison Woolf,f,plant worker,10.0,1/8/78,68.0,182.0,Sydney,2208-02-24,0.39080459770114945,10.7,8.2,8.0
Samuel Miller,,plant worker,9.8,5/20/98,80.0,163.0,Seattle,2208-02-19,0.5517241379310345,7.7,8.8,8.0
Amanda Martinez,f,,9.8,1/14/80,83.0,189.0,,2208-02-24,0.4482758620689655,9.3,7.7,9.0
Elizabeth Lopez,f,trader,15.0,11/9/99,73.0,194.0,Seattle,2208-02-19,0.8563218390804598,9.6,9.5,8.9
,m,police officer,13.5,8/15/85,92.0,,New York,2208-02-23,0.6896551724137933,8.8,9.4,8.7
Olivia Davis,f,plant worker,10.2,6/3/61,80.0,192.0,Montreal,2208-02-24,,8.9,6.2,10.1
Donna Wilson,f,electrician,13.7,4/12/85,76.0,165.0,Melbourne,2208-02-20,0.6436781609195402,8.4,9.9,8.9
Christian Bradbury,m,manager,11.7,9/19/90,89.0,161.0,Montreal,2208-02-21,0.614942528735632,7.6,9.7,10.0
Linda Lawrence,f,trader,14.9,11/28/68,,171.0,Brisbane,2208-02-19,0.7298850574712644,8.5,7.0,8.2
Jacqueline Fitzgerald,f,cashier,10.1,8/14/96,,,London,2208-02-18,0.5574712643678161,7.1,8.2,8.5
Paul Golding,m,clerk,16.0,8/12/76,,174.0,Manchester,2208-02-24,0.7241379310344828,,7.4,6.3
Steven Hernandez,m,electrician,14.2,6/20/87,86.0,181.0,New York,,0.7988505747126438,8.9,8.9,8.8
Jack Fitzgerald,m,plant worker,10.3,12/23/87,74.0,162.0,Seattle,2208-02-12,0.5747126436781609,7.6,7.8,7.3
Robert Thomas,m,laborer,13.8,12/13/67,82.0,168.0,London,2208-02-22,0.603448275862069,8.7,6.6,8.1
Albert Roth,m,cook,11.7,11/16/63,89.0,199.0,Vancouver,2208-02-22,0.4597701149425287,7.8,9.5,6.7
Brandon Hansen,m,cook,11.9,11/18/97,,166.0,Seattle,2208-02-21,0.7241379310344828,8.8,8.3,8.5
Pamela Nabokov,f,electrician,14.0,6/10/61,75.0,184.0,Manchester,2208-02-24,0.6379310344827586,7.9,6.7,9.8
Lawrence Williams,m,bartender,11.5,8/21/81,80.0,188.0,Toronto,2208-02-17,0.4942528735632184,6.8,8.1,8.2
Barbara Hall,f,trader,15.0,8/2/83,75.0,192.0,Sydney,2208-02-16,,7.1,9.5,9.7
Catherine Anderson,f,janitor,8.5,7/22/79,76.0,162.0,,,0.367816091954023,,6.7,8.2
Heather Dreiser,f,server,10.3,3/26/64,85.0,193.0,Los Angeles,2208-02-24,0.4425287356321839,8.7,8.9,5.9
Jesse Holmes,m,plant worker,10.0,3/15/94,81.0,164.0,Seattle,2208-02-22,0.48275862068965514,9.1,7.5,7.1
Roger Lennon,m,bookkeeper,15.9,7/3/88,,198.0,Birmingham,2208-02-20,0.7873563218390806,7.4,7.5,8.0
Lawrence Heller,m,bookkeeper,15.9,1/12/94,86.0,167.0,Manchester,2208-02-14,0.9367816091954023,8.1,9.4,7.7
Dorothy Lewis,f,janitor,7.9,11/18/74,81.0,182.0,Toronto,2208-02-21,,7.1,,7.7
Alan Hemingway,m,plant worker,9.5,7/26/75,86.0,191.0,Melbourne,2208-02-24,0.4022988505747126,7.1,8.8,6.3
,f,electrician,14.0,5/19/64,84.0,173.0,Manchester,2208-02-19,0.6551724137931035,6.9,9.4,7.7
Billy Granger,m,cashier,10.2,3/15/86,86.0,190.0,Montreal,2208-02-18,0.5632183908045977,6.6,7.2,8.6
Douglas Harris,m,developer,14.2,1/28/60,73.0,195.0,Vancouver,2208-02-12,0.5287356321839081,7.9,8.4,9.1
Steven Lewis,m,dentist,15.5,9/16/91,72.0,198.0,Manchester,2208-02-24,0.896551724137931,,9.1,7.7
Ashley Laurie,f,bookkeeper,15.9,2/27/64,80.0,164.0,Los Angeles,2208-02-24,0.764367816091954,5.3,7.4,6.8
Eric Clark,m,manager,12.0,6/14/75,74.0,160.0,Melbourne,2208-02-22,0.603448275862069,7.5,9.3,9.1
Helen Jackson,f,trader,15.3,7/13/96,82.0,175.0,Manchester,2208-02-16,0.9137931034482759,8.4,7.9,8.7
Ann Jagger,f,manager,12.1,11/4/90,87.0,170.0,Seattle,2208-02-24,0.6954022988505747,6.6,6.9,7.8
Evelyn Lopez,f,,10.0,9/9/75,94.0,165.0,Seattle,2208-02-24,0.4885057471264368,8.2,8.5,8.9
Jeffrey Potter,m,,10.1,10/22/87,82.0,174.0,Manchester,2208-02-16,0.4482758620689655,7.8,7.6,8.2
Linda Dreiser,f,server,10.0,10/22/94,83.0,187.0,London,2208-02-22,0.5977011494252874,7.9,9.0,8.6
George Taylor,m,plant worker,10.2,3/18/86,92.0,199.0,Seattle,2208-02-23,0.5057471264367817,8.6,8.1,8.4
Sarah Jagger,f,laborer,13.9,5/6/81,72.0,172.0,Birmingham,2208-02-24,0.7471264367816094,6.4,6.0,6.1
Sara Martin,f,server,9.7,12/9/87,86.0,169.0,Melbourne,2208-02-20,0.48275862068965514,6.9,6.7,7.9
Hannah Dickens,f,cashier,10.0,9/17/67,74.0,170.0,Toronto,2208-02-22,0.3275862068965517,5.6,6.5,8.2
Charlotte Lewis,f,server,10.0,3/4/91,79.0,182.0,Seattle,2208-02-18,0.5804597701149425,7.5,8.9,8.4
Scott Cobain,m,bartender,11.5,10/15/62,92.0,168.0,,2208-02-14,0.44252873563218387,8.4,5.8,7.0
Nathan Morrison,m,police officer,14.2,9/1/81,84.0,167.0,New York,2208-02-24,0.764367816091954,8.0,8.7,6.9
,m,janitor,8.0,6/10/65,92.0,175.0,Vancouver,2208-02-12,0.20114942528735638,,9.0,8.1
Janice Gonzalez,f,electrician,14.0,7/4/70,65.0,166.0,Montreal,2208-02-24,0.6321839080459769,7.9,7.9,8.5
Patrick Laurie,m,developer,13.7,1/6/96,78.0,187.0,London,2208-02-15,0.7643678160919539,6.2,6.3,8.6
Benjamin Morrison,m,plant worker,9.8,7/1/63,65.0,164.0,Brisbane,2208-02-23,0.35057471264367823,9.5,7.3,8.4
Tyler Jackson,m,bartender,12.1,5/6/75,82.0,164.0,,2208-02-14,0.4942528735632184,6.4,8.2,7.3
Virginia Proust,f,laborer,14.1,2/5/70,72.0,196.0,Los Angeles,2208-02-14,0.5804597701149424,8.2,8.6,7.4
John Cobain,m,,9.8,11/20/71,75.0,187.0,Brisbane,2208-02-23,0.33908045977011503,9.3,7.3,9.2
Isabella Dreiser,f,trader,15.0,6/4/68,70.0,186.0,Brisbane,2208-02-22,0.735632183908046,,8.0,8.4
Gloria O'Hara,f,cook,12.2,1/5/93,82.0,194.0,Sydney,2208-02-19,0.660919540229885,8.1,7.7,7.1
David Griffin,m,bookkeeper,15.5,8/23/81,71.0,179.0,Seattle,2208-02-22,0.7816091954022989,8.9,9.0,6.7
Theresa Thomas,f,janitor,7.7,5/10/97,77.0,169.0,Toronto,2208-02-12,0.42528735632183906,7.7,7.9,
Dorothy McConaughey,f,bookkeeper,16.0,10/19/63,78.0,162.0,Manchester,2208-02-15,0.6494252873563218,8.3,7.7,7.2
Gloria Vonnegut,f,electrician,13.7,5/7/89,73.0,161.0,New York,2208-02-17,,8.5,8.1,9.7
Joan Rodriguez,f,cashier,9.7,6/17/87,90.0,181.0,Sydney,2208-02-22,0.48275862068965514,7.8,,6.3
Daniel Banner,m,cook,12.3,10/13/66,87.0,183.0,Montreal,2208-02-20,0.5114942528735632,6.5,9.3,8.1
Lawrence Mercury,m,bartender,11.7,10/5/74,79.0,163.0,Los Angeles,2208-02-21,0.5804597701149425,7.5,7.6,8.5
Katherine Griffin,f,bookkeeper,16.0,11/24/93,71.0,192.0,Melbourne,2208-02-22,0.82183908045977,6.7,7.2,10.3
Bradley Hemingway,m,trader,14.5,1/22/61,69.0,193.0,Seattle,2208-02-19,0.6091954022988506,9.6,6.6,9.0
Louis Huxley,m,,14.0,,86.0,170.0,Los Angeles,2208-02-22,0.7988505747126436,,7.2,6.6
Jack Perez,m,manager,12.0,5/10/99,85.0,189.0,Sydney,2208-02-24,0.6264367816091954,7.3,7.0,8.1
Ronald Hall,m,plant worker,,9/2/70,73.0,173.0,New York,2208-02-24,0.4885057471264368,8.1,7.5,6.2
Juan Jackson,m,bookkeeper,16.0,12/12/87,88.0,161.0,Los Angeles,2208-02-20,0.8448275862068967,8.9,6.4,9.7
Elizabeth Williams,f,bookkeeper,15.9,2/9/95,84.0,194.0,Toronto,2208-02-23,0.942528735632184,5.6,9.5,8.2
Natalie Kafka,f,,16.0,11/16/68,71.0,190.0,Montreal,2208-02-13,0.7931034482758621,6.3,7.1,8.3
,f,carpenter,13.8,10/26/72,82.0,189.0,Sydney,2208-02-22,0.6896551724137933,7.3,7.2,8.7
Joan Radcliffe,f,laborer,14.5,11/28/91,75.0,181.0,Manchester,2208-02-19,0.8390804597701149,8.1,,8.5
Denise Martin,f,clerk,16.0,8/3/83,69.0,162.0,Sydney,2208-02-23,0.764367816091954,8.4,,8.5
Kenneth Miller,m,gardener,10.1,12/21/99,67.0,168.0,Melbourne,2208-02-12,0.632183908045977,9.6,9.0,6.7
,f,police officer,13.7,8/27/89,75.0,198.0,Sydney,2208-02-21,0.7241379310344827,7.5,6.6,7.1
Edward Anderson,m,electrician,13.5,1/15/82,85.0,174.0,Montreal,2208-02-22,0.6149425287356323,6.4,8.1,7.9
Emily Mercury,f,police officer,14.1,8/4/78,69.0,165.0,Brisbane,2208-02-24,0.6264367816091954,8.0,8.5,9.6
Juan Rodriguez,m,carpenter,13.8,3/3/63,,165.0,Los Angeles,,0.5229885057471266,7.8,7.4,8.9
Dylan Banner,m,police officer,14.0,8/24/90,78.0,172.0,Sydney,2208-02-20,0.8045977011494252,9.1,7.8,6.7
Frank Salinger,m,police officer,14.0,10/4/67,91.0,187.0,New York,2208-02-24,0.614942528735632,8.8,7.7,7.9
Laura Wright,f,bookkeeper,,2/2/63,72.0,,Sydney,2208-02-13,0.7241379310344829,8.1,7.4,7.9
Joseph Williams,m,police officer,14.3,8/8/72,79.0,186.0,Vancouver,2208-02-17,0.603448275862069,,8.6,8.0
Denise Huxley,f,,15.0,11/16/78,87.0,161.0,Vancouver,2208-02-13,0.735632183908046,7.1,9.0,8.3
Justin Dickens,m,manager,12.0,6/19/80,84.0,175.0,Seattle,2208-02-24,0.632183908045977,7.4,7.6,
Patrick Granger,m,gardener,10.3,11/23/81,,194.0,Vancouver,2208-02-24,0.4252873563218391,8.3,8.3,6.6
Rachel Wright,f,plant worker,9.9,10/21/66,80.0,163.0,Seattle,2208-02-12,0.31609195402298845,7.7,7.4,6.5
Tyler Forster,m,gardener,10.5,5/24/62,,170.0,Manchester,,0.32758620689655177,8.5,,8.4
Carl Anderson,m,plant worker,9.9,6/20/79,71.0,,Birmingham,2208-02-24,0.4482758620689655,9.4,6.8,8.8
Jacqueline Garcia,f,laborer,14.1,6/16/69,94.0,170.0,Melbourne,2208-02-16,0.689655172413793,7.4,8.0,10.6
Margaret Gonzalez,f,,16.0,8/28/79,69.0,162.0,Los Angeles,2208-02-22,0.8563218390804599,7.6,7.5,6.8
Douglas Jagger,m,developer,14.0,9/11/95,69.0,188.0,,2208-02-23,0.718390804597701,10.5,8.0,8.9
Ralph Johnson,m,trader,15.0,9/17/61,89.0,188.0,Melbourne,2208-02-24,0.6954022988505747,8.3,9.1,9.1
Diana Wright,f,janitor,8.0,3/22/68,79.0,195.0,Sydney,2208-02-20,0.21839080459770116,11.0,9.2,9.2
Jessica Jackson,f,server,9.7,4/24/95,,164.0,Brisbane,2208-02-18,0.5862068965517242,10.0,8.4,7.5
Adam Thompson,m,police officer,13.7,8/16/72,69.0,171.0,Manchester,2208-02-22,0.5689655172413792,8.3,8.4,8.1
Maria Gilmour,f,carpenter,14.0,1/2/79,67.0,180.0,Manchester,2208-02-24,0.7413793103448276,8.6,8.1,6.6
Alice Kafka,f,developer,14.2,12/4/78,91.0,199.0,Melbourne,2208-02-16,0.7471264367816092,7.8,7.7,7.2
Anthony Lennon,m,manager,11.5,,75.0,196.0,Vancouver,2208-02-13,0.5402298850574712,,8.3,9.4
Teresa Nabokov,f,manager,11.5,,76.0,161.0,Birmingham,2208-02-17,0.4597701149425287,8.2,7.4,9.3
Angela Burgess,f,electrician,14.5,8/13/88,83.0,179.0,Manchester,2208-02-12,0.7068965517241379,8.8,6.7,7.3
Sara Miller,f,laborer,14.0,8/24/60,84.0,168.0,,2208-02-21,0.5172413793103448,7.1,7.5,8.4
,f,cashier,10.0,9/17/67,78.0,192.0,Toronto,2208-02-23,0.3275862068965517,,9.5,9.5
Angela Huxley,f,,,7/23/82,94.0,179.0,Vancouver,2208-02-24,0.5,6.4,11.0,8.0
Joshua Anderson,,,15.5,3/9/62,87.0,184.0,Montreal,2208-02-23,0.6724137931034483,7.5,7.8,8.1
,f,plant worker,9.8,9/17/68,78.0,191.0,Sydney,2208-02-24,0.3218390804597702,6.8,7.7,5.5
Dylan Gilmour,m,clerk,16.1,2/23/78,91.0,178.0,Vancouver,2208-02-24,0.7988505747126438,9.0,8.0,7.0
Sara O'Hara,f,plant worker,10.0,9/17/62,87.0,192.0,Birmingham,2208-02-22,0.2988505747126437,7.4,9.3,
Carol Orwell,f,server,10.0,6/23/99,77.0,188.0,Manchester,2208-02-22,0.5689655172413793,8.5,7.9,7.2
